,WeatherStation,InitialN,SoilCategory,Texture,Rocks,SampleDepth,PMN,Splits,PrePlantRain,InCropRain,Irrigation,PriorCropNameFull,PriorFieldYield,PriorFieldLoss,PriorDressingLoss,PriorMoistureContent,PriorEstablishDate,PriorEstablishStage,PriorHarvestDate,PriorHarvestStage,PriorResidueRemoval,PriorResidueIncorporation,CurrentCropNameFull,CurrentFieldYield,CurrentFieldLoss,CurrentDressingLoss,CurrentMoistureContent,CurrentEstablishDate,CurrentEstablishStage,CurrentHarvestDate,CurrentHarvestStage,CurrentResidueRemoval,CurrentResidueIncorporation,FollowingCropNameFull,FollowingFieldYield,FollowingFieldLoss,FollowingDressingLoss,FollowingMoistureContent,FollowingEstablishDate,FollowingEstablishStage,FollowingHarvestDate,FollowingHarvestStage,FollowingResidueRemoval,FollowingResidueIncorporation
Vegetative_1,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,1,Typical,Very Dry,Some,Wheat Grain Feed,,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Vegetative,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
EarlyReproductive_1,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,1,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,EarlyReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
MidReproductive_1,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,1,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,MidReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
LateReproductive_1,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,1,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,LateReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Maturity_1,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,1,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Maturity,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Late_1,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,1,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Late,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Vegetative_2,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,2,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Vegetative,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
EarlyReproductive_2,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,2,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,EarlyReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
MidReproductive_2,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,2,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,MidReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
LateReproductive_2,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,2,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,LateReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Maturity_2,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,2,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Maturity,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Late_2,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,2,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Late,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Vegetative_3,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,3,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Vegetative,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
EarlyReproductive_3,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,3,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,EarlyReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
MidReproductive_3,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,3,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,MidReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
LateReproductive_3,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,3,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,LateReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Maturity_3,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,3,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Maturity,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Late_3,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,3,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Late,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Vegetative_5,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,5,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Vegetative,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
EarlyReproductive_5,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,5,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,EarlyReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
MidReproductive_5,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,5,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,MidReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
LateReproductive_5,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,5,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,LateReproductive,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Maturity_5,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,5,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Maturity,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Late_5,lincoln,50,Sedimentary,SandyLoam,0,Top30cm,50,5,Typical,Very Dry,Some,Wheat Grain Feed,0,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-03-04 00:00:00,Late,All removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-04-04 00:00:00,Seed,2024-10-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
